worker_id,education,experience,female,industry,log_wage
156,13,25,0,Services,3.8296
157,15,31,1,Services,4.3322
158,12,18,0,Services,3.0617
159,11,20,1,Finance,3.494
160,13,29,0,Education,3.8654
161,13,19,1,Services,3.4073
162,14,12,0,Services,3.0143
163,16,23,1,Education,3.5821
164,12,19,1,Manufacturing,3.0264
165,15,10,0,Services,3.4194
166,17,33,0,Finance,3.9158
167,13,16,0,Services,3.4501
168,16,18,1,Manufacturing,3.558
169,8,18,1,Services,3.0393
170,12,36,0,Education,3.6501
171,21,15,0,Finance,4.2049
172,18,8,0,Finance,3.3678
173,10,32,0,Services,3.6568
174,15,27,0,Manufacturing,3.1686
175,14,26,0,Healthcare,4.2015
176,14,24,0,Finance,3.9313
177,15,22,0,Services,3.8064
178,19,13,0,Education,3.6258
179,11,24,1,Services,3.2685
180,15,23,1,Healthcare,3.2657
181,13,23,1,Manufacturing,3.2461
182,14,22,0,Finance,3.3676
183,13,20,1,Services,3.6116
184,14,18,0,Finance,3.3464
185,16,8,1,Education,3.0094
186,13,27,1,Services,3.7034
187,8,27,0,Education,2.802
188,15,20,0,Manufacturing,3.3212
189,13,16,0,Education,2.8773
190,13,24,1,Manufacturing,3.2796
191,17,24,0,Finance,3.9845
192,14,22,1,Education,3.366
193,18,23,1,Finance,3.7428
194,11,16,1,Services,3.2891
195,15,13,0,Manufacturing,3.167
196,15,26,0,Education,3.8034
197,16,30,0,Services,4.2692
198,13,27,0,Education,3.5557
199,10,22,0,Healthcare,3.4346
200,15,22,0,Healthcare,3.3855
201,15,27,0,Finance,3.9737
202,20,10,0,Services,3.4466
203,15,16,0,Education,3.4671
204,22,14,0,Manufacturing,4.1471
205,12,26,0,Healthcare,3.5097
206,15,22,1,Manufacturing,3.6044
207,13,30,1,Healthcare,3.5649
208,16,16,0,Education,3.5093
209,11,21,1,Manufacturing,3.0837
210,15,22,0,Education,3.337
211,12,20,1,Healthcare,3.2013
212,19,16,0,Education,3.3353
213,12,31,1,Healthcare,3.4971
214,15,20,0,Finance,3.9981
215,11,14,0,Services,2.8053
216,15,23,1,Services,3.5773
217,14,18,0,Manufacturing,3.1306
218,13,23,0,Healthcare,3.2795
219,13,16,1,Services,2.9518
220,14,22,0,Education,3.695
221,18,5,1,Services,2.7848
222,15,33,0,Manufacturing,4.1076
223,15,32,1,Services,4.135
224,18,22,1,Manufacturing,3.7531
225,17,16,1,Education,3.1469
226,14,20,0,Manufacturing,3.5118
227,13,39,0,Services,4.5367
228,15,18,0,Finance,3.641
229,11,26,0,Manufacturing,3.3506
230,14,23,1,Services,3.6044
231,13,16,1,Services,2.9679
232,18,20,0,Services,3.9268
233,13,27,1,Healthcare,3.5603
234,21,16,0,Healthcare,4.0526
235,12,14,0,Education,2.6658
236,17,24,1,Finance,4.1846
237,14,21,0,Finance,3.7801
238,13,29,1,Education,3.1719
239,16,24,0,Services,3.4789
240,17,27,0,Education,3.6743
241,14,22,0,Services,3.6354
242,15,16,1,Finance,3.2701
243,16,29,1,Education,3.5298
244,13,27,1,Education,3.1395
245,13,17,0,Healthcare,3.4823
246,16,21,1,Healthcare,3.6085
247,15,28,1,Manufacturing,3.8402
248,10,24,1,Education,3.1043
249,15,18,1,Finance,3.5078
250,12,16,0,Finance,3.4121
251,13,14,1,Education,3.0567
252,16,10,1,Finance,3.5929
253,12,16,0,Healthcare,2.8358
254,18,18,0,Services,3.7101
255,17,14,0,Finance,3.5103
256,17,13,1,Finance,3.4392
257,12,22,1,Manufacturing,3.0079
258,15,17,1,Healthcare,3.1554
259,13,15,0,Services,3.3701
260,16,24,1,Services,3.7987
261,17,27,1,Services,4.1752
262,16,35,0,Healthcare,4.0705
263,20,22,1,Healthcare,3.9029
264,19,23,1,Services,3.8879
265,13,23,1,Services,3.5196
266,9,19,1,Services,2.7053
267,19,21,0,Healthcare,4.0986
268,11,25,1,Services,3.5154
269,10,39,1,Healthcare,3.9801
270,14,22,0,Education,3.3852
271,16,23,1,Healthcare,3.8928
272,17,14,1,Services,3.3175
273,14,9,0,Services,3.4933
274,13,38,1,Education,4.0227
275,18,13,1,Services,3.5866
276,17,23,1,Manufacturing,3.375
277,12,24,0,Healthcare,3.5202
278,9,13,0,Education,2.8851
279,15,19,0,Healthcare,3.4501
280,19,12,0,Education,3.547
281,16,24,1,Healthcare,3.4306
282,15,14,0,Services,3.5124
283,16,16,1,Manufacturing,2.8882
284,19,25,0,Manufacturing,3.8292
285,12,34,1,Finance,3.9177
286,20,22,0,Services,4.1211
287,12,12,0,Finance,3.5233
288,13,21,0,Education,3.1626
289,13,18,0,Manufacturing,3.5475
290,10,30,0,Manufacturing,3.6624
291,14,28,0,Healthcare,3.7237
292,16,23,0,Finance,4.2832
293,15,31,1,Finance,3.7317
294,13,15,1,Finance,2.9888
295,11,25,0,Healthcare,3.5276
296,13,24,1,Services,3.348
297,16,26,0,Services,4.2087
298,14,34,1,Services,4.0349
299,12,22,0,Finance,3.768
300,15,29,1,Manufacturing,3.6938
301,15,28,1,Services,3.6062
302,15,24,1,Healthcare,3.9772
303,13,25,0,Healthcare,3.3128
304,15,24,1,Services,3.8441
305,18,15,0,Services,3.3397
306,14,22,0,Finance,3.3258
307,15,24,0,Manufacturing,3.4369
308,13,37,0,Manufacturing,3.8299
309,14,28,0,Finance,4.3112
310,12,23,1,Manufacturing,3.1893
311,10,22,0,Finance,3.4047
312,13,16,0,Education,2.8543
313,14,31,0,Healthcare,3.9742
314,14,22,0,Services,3.6003
315,12,32,0,Finance,3.9804
316,14,27,0,Services,3.5939
317,16,15,1,Services,3.7762
318,9,29,1,Manufacturing,3.13
319,13,23,1,Services,3.5808
320,11,21,0,Services,3.2953
321,15,21,0,Finance,3.9094
322,13,25,0,Finance,3.2658
323,19,12,1,Healthcare,3.4434
324,13,22,1,Healthcare,3.3459
325,16,26,0,Healthcare,4.1417
326,19,23,0,Healthcare,3.8617
327,14,19,1,Education,3.0058
328,15,29,1,Education,4.0054
329,15,7,1,Finance,3.3215
330,15,32,0,Manufacturing,3.8511
331,12,36,1,Manufacturing,4.1876
332,10,23,0,Education,3.0727
333,12,14,1,Education,2.7762
334,11,29,0,Education,3.4222
335,17,4,0,Manufacturing,2.9862
336,12,24,1,Manufacturing,3.2058
337,14,19,1,Services,3.4264
338,11,18,1,Healthcare,3.1687
339,11,24,0,Healthcare,3.3372
340,13,32,1,Healthcare,3.6064
341,11,33,1,Manufacturing,3.8533
342,10,35,0,Manufacturing,4.023
343,12,19,0,Services,3.1128
344,12,24,0,Manufacturing,3.4395
345,18,16,0,Services,3.4872
346,12,21,1,Healthcare,3.3061
347,12,26,1,Services,3.3798
348,11,22,0,Services,3.1821
349,15,25,1,Services,3.683
350,11,23,1,Manufacturing,3.3689
351,13,22,1,Manufacturing,3.2477
352,15,15,0,Healthcare,3.6742
353,14,14,1,Healthcare,3.4529
354,14,18,1,Healthcare,3.6982
355,13,21,0,Education,3.2043
356,13,26,0,Services,3.4618
357,15,26,1,Services,3.6967
358,12,26,0,Services,3.8586
359,11,19,1,Manufacturing,2.633
360,12,19,1,Healthcare,3.428
361,16,14,0,Services,3.4092
362,13,30,1,Education,3.4171
363,13,23,0,Finance,3.4175
364,13,21,0,Finance,3.5407
365,11,24,1,Manufacturing,2.9679
366,12,27,0,Services,3.4397
367,16,24,1,Education,3.0353
368,17,15,0,Finance,3.8153
369,12,18,0,Manufacturing,3.1072
370,17,26,0,Education,3.9202
371,11,29,1,Education,3.3668
372,16,25,1,Manufacturing,3.8529
373,17,18,1,Services,3.9326
374,13,21,1,Manufacturing,3.1936
375,17,21,1,Manufacturing,3.6053
376,11,31,1,Finance,4.0494
377,12,14,1,Healthcare,3.1258
378,11,17,1,Finance,2.714
379,11,23,1,Healthcare,3.5252
380,9,16,1,Education,3.0621
381,19,16,1,Healthcare,3.9919
382,14,18,1,Services,3.3025
383,16,18,0,Education,3.3855
384,19,22,1,Education,3.6422
385,12,27,0,Finance,3.4663
386,17,26,0,Education,3.7002
387,18,18,0,Finance,4.0181
388,16,30,1,Education,3.6439
389,11,30,0,Finance,3.7019
390,14,22,1,Healthcare,3.6761
391,14,28,1,Finance,3.8875
392,16,22,0,Healthcare,3.4678
393,16,17,1,Finance,3.7663
394,17,25,0,Healthcare,4.0855
395,13,20,1,Services,2.9415
396,15,23,0,Finance,3.9099
397,14,27,0,Manufacturing,3.6744
398,14,18,1,Services,3.3215
399,12,15,1,Manufacturing,2.6392
400,12,25,0,Healthcare,3.8684
401,17,19,0,Finance,3.9928
402,14,26,1,Education,3.4851
403,15,20,1,Healthcare,3.614
404,15,29,1,Healthcare,3.9546
405,12,23,0,Healthcare,3.6412
406,16,27,1,Manufacturing,3.6914
407,12,24,0,Education,2.956
408,9,11,1,Healthcare,2.9576
409,16,20,1,Finance,3.62
410,19,9,1,Education,3.307
411,11,25,0,Manufacturing,3.1644
412,14,18,0,Education,3.4297
413,18,24,1,Education,3.4682
414,13,25,1,Education,3.5166
415,19,18,1,Education,3.86
416,12,24,0,Services,3.7326
417,15,13,1,Education,2.6435
418,13,38,0,Manufacturing,3.8778
419,12,19,0,Services,2.997
420,13,29,1,Manufacturing,3.6384
421,17,15,1,Healthcare,3.2482
422,18,20,1,Healthcare,3.3514
423,15,20,0,Finance,3.3881
424,15,24,0,Manufacturing,3.505
425,14,14,1,Education,3.0403
426,16,12,1,Services,2.8498
427,17,19,0,Finance,4.1122
428,17,21,0,Services,3.9425
429,8,25,1,Healthcare,3.1059
430,13,31,0,Education,3.8954
431,15,17,0,Healthcare,3.7474
432,14,15,1,Services,3.1527
433,18,14,1,Services,3.5875
434,16,28,1,Healthcare,4.0561
435,17,9,0,Services,3.3738
436,14,25,1,Education,3.0628
437,11,17,0,Manufacturing,3.0477
438,14,19,1,Manufacturing,3.4377
439,15,28,0,Finance,3.9277
440,16,16,0,Healthcare,3.4152
441,14,25,1,Healthcare,3.4011
442,16,20,1,Healthcare,3.719
443,17,15,0,Services,3.2327
444,15,27,1,Finance,3.7285
445,17,15,0,Healthcare,3.6075
446,15,28,1,Manufacturing,3.5066
447,16,20,0,Education,3.5301
448,12,15,1,Finance,2.8771
449,11,8,0,Education,2.2273
450,10,31,0,Healthcare,3.3969
451,12,23,0,Manufacturing,3.3516
452,15,22,0,Healthcare,3.7336
453,16,18,1,Services,3.2729
454,12,32,1,Manufacturing,2.9827
455,15,21,0,Education,3.4837
456,12,6,1,Finance,2.9635
457,16,23,0,Finance,3.9171
458,11,21,0,Education,3.1544
459,15,27,1,Finance,4.2379
460,11,19,0,Manufacturing,3.597
461,15,17,0,Manufacturing,3.2648
462,13,30,1,Healthcare,3.8804
463,13,35,0,Manufacturing,3.6811
464,13,25,1,Services,3.4981
465,11,23,1,Healthcare,3.3606
466,15,24,0,Manufacturing,3.4617
467,18,26,0,Services,3.9364
468,12,18,1,Education,2.8844
469,13,16,1,Finance,3.2315
470,14,18,0,Education,3.0957
471,21,2,0,Services,3.3998
472,15,11,0,Services,3.4946
473,14,20,1,Manufacturing,3.3639
474,13,21,1,Education,3.0886
475,10,31,1,Healthcare,3.6239
476,16,16,1,Finance,3.0954
477,13,25,0,Manufacturing,3.5518
478,13,20,1,Services,3.2446
479,14,35,1,Manufacturing,3.6506
480,13,21,1,Manufacturing,3.0475
481,12,19,1,Services,2.9828
482,9,20,1,Education,2.5417
483,12,17,1,Manufacturing,3.2139
484,10,20,0,Finance,3.2356
485,13,27,1,Education,3.4733
486,9,26,1,Education,3.1386
487,19,20,1,Education,3.6758
488,13,32,1,Healthcare,3.6553
489,17,21,0,Manufacturing,3.6175
490,10,26,0,Manufacturing,3.3614
491,16,23,0,Healthcare,3.9766
492,16,14,1,Services,3.118
493,11,23,1,Finance,3.3035
494,16,14,1,Manufacturing,3.4019
495,15,14,1,Manufacturing,3.3365
496,18,33,0,Services,4.6131
497,15,23,1,Services,3.8479
498,15,19,1,Healthcare,3.3744
499,15,21,1,Education,3.4439
500,17,24,0,Services,3.8249
